acid,pka_exp
ethan,50.00
ethen,44.00
benzol,43.00
toluol,41.00
nh3,36.00
diphenylmethan,33.50
anilin,27.00
ch3cn,25.00
chcl3,25.00
ethin,25.00
fluoren,23.00
uoren,23.00
aceton,20.00
tbutanol,20.00
cpdien,16.00
h2o,15.70
meoh,15.50
acetamid,15.00
pyrrol,15.00
imidazol,14.50
guanidinium+,13.40
trifluorethanol,12.50
h2o2,11.60
malonitril,11.20
enol,10.50
hco3-,10.30
phenol,10.00
phtalimid,9.60
odiphenol,9.50
nh4+,9.40
uracil,9.40
acetylaceton,9.00
phboron,8.80
morpholineh+,8.50
hydrazinium+,8.10
hocl,7.50
h2po4-,7.20
imidazolh+,7.00
tropolon,6.50
pyridinium+,5.20
cyclohexandion,5.00
ch3cooh,4.80
hn3,4.70
phnh3+,4.60
vitcmod,4.50
oxal2-,4.20
phcooh,4.20
barbituric,4.00
isocyanic,3.90
hcooh,3.80
h2co3,3.60
Naphthyridinium+,3.40
quadratic2-,3.40
hno2,3.30
salicylat,2.75
ala,2.40
h3po4,2.20
hso4-,1.90
sacharin,1.60
quadratic1,1.50
pyrimidinium+,1.30
oxal1,1.20
diphenylamineh+,0.80
ccl3cooh,0.65
pikrin,0.25
uronium+,0.10
cf3cooh,0.00
acetamidh+,0.00
dmsoh+,-1.50
h3o+,-1.74
meoh2+,-2.00
thfh+,-2.10
mesulfons,-2.60
hclo3,-2.70
h2so4,-3.00
nph3h+,-5.00
ch3cooh2+,-6.00
acetonh+,-7.00
hclo4,-10.00
ch3cnh+,-10.00
tbutyl+,-12.00
bzh+,-24.00
